Inflections: 3180 forms
Lemma	Form	Analysis (UniMorph)
girtin	na-ş-im-gir-in	V;PRS;IND;NEG;ArgNO2P;[ÎŞ];ArgAC1S
girtin	na-ş-î-gir-in	V;PRS;IND;NEG;ArgNO2P;[ÎŞ];ArgAC3S
girtin	na-ş-man-gir-in	V;PRS;IND;NEG;ArgNO2P;[ÎŞ];ArgAC1P
girtin	na-ş-yan-gir-in	V;PRS;IND;NEG;ArgNO2P;[ÎŞ];ArgAC3P
girtin	na-m-gir-in	V;PRS;IND;NEG;ArgNO3P;ArgAC1S
girtin	na-t-gir-in	V;PRS;IND;NEG;ArgNO3P;ArgAC2S
girtin	na-y-gir-in	V;PRS;IND;NEG;ArgNO3P;ArgAC3S
girtin	na-man-gir-in	V;PRS;IND;NEG;ArgNO3P;ArgAC1P
girtin	na-tan-gir-in	V;PRS;IND;NEG;ArgNO3P;ArgAC2P
girtin	na-yan-gir-in	V;PRS;IND;NEG;ArgNO3P;ArgAC3P
girtin	na-ş-gir-in	V;PRS;IND;NEG;ArgNO3P;[ÎŞ]
girtin	na-ş-im-gir-in	V;PRS;IND;NEG;ArgNO3P;[ÎŞ];ArgAC1S
girtin	na-ş-it-gir-in	V;PRS;IND;NEG;ArgNO3P;[ÎŞ];ArgAC2S
girtin	na-ş-î-gir-in	V;PRS;IND;NEG;ArgNO3P;[ÎŞ];ArgAC3S
girtin	na-ş-man-gir-in	V;PRS;IND;NEG;ArgNO3P;[ÎŞ];ArgAC1P
girtin	na-ş-tan-gir-in	V;PRS;IND;NEG;ArgNO3P;[ÎŞ];ArgAC2P
girtin	na-ş-yan-gir-in	V;PRS;IND;NEG;ArgNO3P;[ÎŞ];ArgAC3P
girtin	bi-gir-im	V;PRS;SBJV;ArgNO1S
girtin	bi-gir-ît	V;PRS;SBJV;ArgNO2S
girtin	bi-gir-êt	V;PRS;SBJV;ArgNO3S
girtin	bi-gir-în	V;PRS;SBJV;ArgNO1P
girtin	bi-gir-in	V;PRS;SBJV;ArgNO2P
girtin	bi-gir-in	V;PRS;SBJV;ArgNO3P
girtin	bi-t-gir-im	V;PRS;SBJV;ArgNO1S;ArgAC2S
girtin	bi-y-gir-im	V;PRS;SBJV;ArgNO1S;ArgAC3S
girtin	bi-tan-gir-im	V;PRS;SBJV;ArgNO1S;ArgAC2P
girtin	bi-yan-gir-im	V;PRS;SBJV;ArgNO1S;ArgAC3P
girtin	bi-ş-gir-im	V;PRS;SBJV;ArgNO1S;[ÎŞ]
girtin	bi-ş-it-gir-im	V;PRS;SBJV;ArgNO1S;[ÎŞ];ArgAC2S
